Quarter_Year,txt_polarity_basecase,sentence_polarity_basecase,txt_polarity_filtered_length,sentence_polarity_filtered_length,txt_polarity_filtered_lexicon,sentence_polarity_filtered_lexicon,numeric_sentiment_score_basecase,numeric_sentiment_score,EPS_Spread,Trend_Spread,Trend_Spread_Class
Q2_2012,0.115768255,0.085433607,0.121517423,0.107645129,0.142069465,0.138272264,-0.379310345,-0.266666667,0.46,-0.426,0
Q4_2004,0.161682144,0.136138157,0.166259085,0.100039289,0.21006281,0.116648846,0.428571429,0.518518519,,,1
Q4_2005,0.12732495,0.09190706,0.132057491,0.099857381,0.145025232,0.119863702,0.457627119,0.485714286,,,1
Q2_2013,0.116835614,0.081903454,0.115906077,0.09994534,0.143818022,0.182409316,0.577464789,0.661290323,0.15,0.075,1
Q2_2010,0.10763219,0.09052623,0.110576188,0.090865074,0.143738472,0.080565919,-0.238095238,-0.454545455,0.38,-0.946,0
Q2_2011,0.132094864,0.0995856,0.125696401,0.128312992,0.138619564,0.146973023,0.090909091,0.111111111,0.07,0.638,1
Q1_2009,0.112826025,0.106032673,0.105646231,0.133068131,0.126421087,0.155128054,-0.19047619,-0.096774194,0.09,-1.162,0
Q2_2017,0.118035009,0.086883928,0.116409804,0.102040619,0.146412953,0.191039288,0.846153846,0.75,0.23,-0.011,0
Q2_2016,0.129163018,0.113323415,0.125777376,0.163240734,0.144841641,0.183528557,0.326315789,0.301204819,0.12,-0.723,0
Q2_2015,0.107305693,0.100175075,0.106212247,0.106805921,0.119063669,0.086985407,0.428571429,0.230769231,0.1,-0.374,0
Q4_2003,0.076444739,0.058579041,0.073705859,0.080440026,0.079989288,0.105960048,0.379310345,0.5,,,1
Q4_2002,0.066651842,0.057891812,0.051217392,0.129207569,0.059110339,0.048399649,0.301587302,0.454545455,,,1
Q2_2014,0.106151814,0.09494321,0.106533572,0.101186805,0.124583006,0.096375058,0.492537313,0.547169811,0.16,-0.138,0
Q3_2008,0.145890748,0.112322063,0.141415445,0.126089886,0.149978106,0.096449805,0.333333333,0.5,0.25,-0.546,0
Q3_2009,0.099792018,0.080423778,0.100074716,0.084056977,0.124338594,0.088674664,0.015873016,0.217391304,0.31,-0.414,0
