,0
628,pockets
629,growth
630,select
631,industries
632,like
633,financial
634,institutions
635,technology
636,energy
637,continue
638,significant
639,runoff
640,tax
641,exempt
642,cre
643,although
644,higher
645,origination
646,activity
647,commercial
648,term
649,lending
650,largely
651,offset
652,declines
653,real
654,estate
655,banking
656,remain
657,selective
658,given
659,credit
660,costs
661,million
662,net
663,rate
664,basis
665,asset
666,wealth
667,management
668,page
669,asset
670,wealth
671,management
672,reported
673,net
674,income
675,million
676,pretax
677,margin
678,roe
679,billion
680,quarter
681,flat
682,impact
683,higher
684,average
685,market
686,levels
687,well
688,deposit
689,loan
690,growth
691,offset
692,deposit
693,margin
694,billion
695,continued
696,investments
697,technology
698,advisers
699,partially
700,offset
701,lower
702,distribution
703,legal
704,costs
705,million
706,driven
707,net
708,well
709,reserve
710,builds
711,loan
712,quarter
713,saw
714,net
715,inflows
716,billion
717,driven
718,fixed
719,income
720,net
721,liquidity
722,inflows
723,trillion
724,overall
725,client
726,assets
727,trillion
728,records
729,respectively
730,driven
731,cumulative
732,net
733,inflows
734,liquidity
735,products
736,well
737,higher
738,market
739,driven
740,growth
741,record
742,loan
743,balances
744,strength
745,wholesale
746,mortgage
747,corporate
748,page
749,corporate
750,reported
751,net
752,income
753,million
754,million
755,primarily
756,due
757,higher
758,net
759,interest
760,income
761,driven
762,higher
763,balances
764,balance
765,sheet
766,mix
767,well
768,funding
769,offset
770,lower
771,mortgage
772,loan
773,sale
774,mentioned
775,earlier
776,partially
777,offset
778,lower
779,quarter
780,also
781,included
782,small
783,net
784,gains
785,certain
786,legacy
787,private
788,equity
789,investments
790,compared
791,approximately
792,million
793,net
794,losses
795,prior
796,expenses
797,million
798,million
799,primarily
800,due
801,higher
802,investments
803,technology
804,prior
805,year
806,net
807,legal
808,turning
809,page
810,full
811,year
812,outlook
813,remains
814,line
815,previous
816,expect
817,net
818,interest
819,income
820,come
821,slightly
822,billion
823,based
824,latest
825,implieds
826,adjusted
827,expenses
828,approximately
829,wrap
830,economy
831,solid
832,global
833,growth
834,slowing
835,consumer
836,remains
837,continued
838,macro
839,uncertainty
840,headwinds
841,rate
842,environment
843,quarter
844,showcases
845,diversification
846,scale
847,business
848,remain
849,well
850,positioned
851,outperform
852,environment
853,continue
854,strategically
855,invest
856,operator
857,please
858,open
859,line
860,q
861,worth
862,noting
863,glenn
864,overall
865,impact
866,jpmorgan
867,events
868,material
869,one
870,way
871,another
872,third
873,quarter
874,results
875,well
876,terms
877,balance
878,sheet
879,positioning
880,know
881,negatively
882,convexed
883,balance
884,manage
885,moves
886,interest
887,rates
888,quarter
889,like
890,rally
891,would
892,expect
893,us
894,buy
895,duration
896,terms
897,way
898,think
899,think
900,given
901,full
902,year
903,implies
904,fourth
905,quarter
906,bad
907,place
908,puts
909,would
910,get
911,full
912,run
913,rate
914,october
915,cut
916,course
917,based
918,implieds
919,one
920,cut
921,next
922,offset
923,least
924,partial
925,offset
926,would
927,balance
928,sheet
929,growth
930,give
931,color
932,investor
933,day
934,always
935,better
936,position
937,fourth
938,quarter
939,terms
940,run
941,rate
942,bad
943,place
944,start
945,relates
946,gsib
947,fully
948,intend
949,bucket
950,know
951,aspects
952,gsib
953,spot
954,basis
955,manage
956,like
957,scarce
958,resource
959,fully
960,intend
961,bucket
962,need
963,across
964,various
965,gsib
966,buckets
967,obvious
968,fourth
969,quarter
970,like
971,said
972,managing
973,fully
974,intend
975,leverage
976,think
977,well
978,come
979,back
980,investment
981,securities
982,terms
983,balance
984,sheet
985,growth
986,think
987,largely
988,one
989,example
990,obviously
991,rate
992,environment
993,economy
994,matter
995,whole
996,declining
997,rate
998,environment
999,alternatives
1000,consumers
1001,less
1002,expect
1003,continue
1004,grow
1005,could
1006,see
1007,healthy
1008,growth
1009,deposit
1010,referring
1011,terms
1012,investment
1013,securities
1014,look
1015,increase
