,Quarter_Year,numeric_sentiment_score,numeric_sentiment_score_basecase
0,Q3_2019,0.6904761904761905,0.7368421052631579
1,Q3_2018,0.5463917525773195,0.5402298850574713
2,Q4_2010,-0.25,-0.2727272727272727
3,Q1_2018,0.49473684210526314,0.47619047619047616
4,Q4_2011,-0.3,-0.14285714285714285
5,Q1_2019,0.5172413793103449,0.5584415584415584
6,Q4_2012,0.2608695652173913,0.391304347826087
7,Q2_2005,0.40350877192982454,0.43478260869565216
8,Q4_2013,0.2857142857142857,0.3023255813953488
9,Q4_2015,0.21568627450980393,0.16666666666666666
10,Q2_2003,0.4358974358974359,0.5666666666666667
11,Q2_2002,0.2463768115942029,0.3333333333333333
12,Q4_2014,0.38461538461538464,0.42857142857142855
13,Q4_2017,0.5447154471544715,0.5643564356435643
14,Q4_2016,0.6859504132231405,0.6730769230769231
15,Q1_2002,-0.047619047619047616,0.0
16,Q1_2003,-0.06666666666666667,0.25
17,Q4_2008,0.6,0.5
18,Q4_2009,-0.6,-0.3333333333333333
19,Q2_2019,0.4807692307692308,0.5053763440860215
20,Q2_2018,0.7669902912621359,0.8064516129032258
21,Q1_2005,0.5064935064935064,0.5737704918032787
22,Q1_2004,0.660377358490566,0.75
23,Q3_2004,0.21666666666666667,0.20408163265306123
24,Q3_2003,0.12,0.18518518518518517
25,Q3_2002,-0.2647058823529412,-0.08695652173913043
26,Q3_2012,-0.3,-0.2
27,Q3_2013,0.21739130434782608,0.3263157894736842
28,Q3_2010,0.0,1.0
29,Q3_2011,0.16129032258064516,0.6363636363636364
30,Q3_2017,0.5384615384615384,0.5789473684210527
31,Q3_2016,0.7931034482758621,0.825
32,Q3_2015,0.3220338983050847,0.38613861386138615
33,Q3_2014,0.5131578947368421,0.6033057851239669
34,Q2_2008,0.21904761904761905,0.5
35,Q1_2016,0.37254901960784315,0.36585365853658536
36,Q2_2009,-0.05660377358490566,0.2903225806451613
37,Q1_2020,-0.3333333333333333,0.0
38,Q1_2017,1.0,1.0
39,Q1_2014,0.24475524475524477,0.23636363636363636
40,Q1_2015,0.5251798561151079,0.5806451612903226
41,Q1_2013,0.2923076923076923,0.38461538461538464
42,Q1_2012,-0.23076923076923078,-0.5
43,Q4_2019,0.55,0.580952380952381
44,Q1_2011,-0.23076923076923078,0.1111111111111111
45,Q4_2018,0.45901639344262296,0.4563106796116505
46,Q1_2010,-0.05,0.15384615384615385
47,Q2_2012,-0.3793103448275862,-0.26666666666666666
48,Q4_2004,0.42857142857142855,0.5185185185185185
49,Q4_2005,0.4576271186440678,0.4857142857142857
50,Q2_2013,0.5774647887323944,0.6612903225806451
51,Q2_2010,-0.23809523809523808,-0.45454545454545453
52,Q2_2011,0.09090909090909091,0.1111111111111111
53,Q1_2009,-0.19047619047619047,-0.0967741935483871
54,Q2_2017,0.8461538461538461,0.75
55,Q2_2016,0.3263157894736842,0.30120481927710846
56,Q2_2015,0.42857142857142855,0.23076923076923078
57,Q4_2003,0.3793103448275862,0.5
58,Q4_2002,0.30158730158730157,0.45454545454545453
59,Q2_2014,0.4925373134328358,0.5471698113207547
60,Q3_2008,0.3333333333333333,0.5
61,Q3_2009,0.015873015873015872,0.21739130434782608
